blade_span_m,web,airfoil,chord_m,x_over_c,web_height_m,web_spacing_m,face_layers_each_side,db_layer_thickness_mm,face_thickness_each_side_mm,core_thickness_mm
1.3667,forward,Cylinder1,3.386,0.41139988186650917,3.3323616697031486,0.6,2,1.0,2.0,50.0
1.3667,aft,Cylinder1,3.386,0.5886001181334908,3.3323616697031486,0.6,2,1.0,2.0,50.0
4.1,forward,Cylinder1,3.854,0.42215879605604567,3.8069586543783784,0.6,2,1.0,2.0,50.0
4.1,aft,Cylinder1,3.854,0.5778412039439543,3.8069586543783784,0.6,2,1.0,2.0,50.0
6.8333,forward,Cylinder2,4.167,0.3780057595392369,4.041001001918919,0.6,2,1.0,2.0,50.0
6.8333,aft,Cylinder2,4.167,0.5219942404607631,4.162904261702702,0.6,2,1.0,2.0,50.0
10.25,forward,DU40_A17,4.557,0.3341672152732061,1.822886838305847,0.6,2,1.0,2.0,50.0
10.25,aft,DU40_A17,4.557,0.46583278472679396,1.5750716420239883,0.6,2,1.0,2.0,50.0
14.35,forward,DU35_A17,4.652,0.3355116079105761,1.6041495677361322,0.6,2,1.0,2.0,50.0
14.35,aft,DU35_A17,4.652,0.46448839208942394,1.3605219229985006,0.6,2,1.0,2.0,50.0
18.45,forward,DU35_A17,4.458,0.33270524899057874,1.5399535018290857,0.6,2,1.0,2.0,50.0
18.45,aft,DU35_A17,4.458,0.4672947510094213,1.2969760683058469,0.6,2,1.0,2.0,50.0
22.55,forward,DU30_A17,4.249,0.32939515180042367,1.2617782311994001,0.6,2,1.0,2.0,50.0
22.55,aft,DU30_A17,4.249,0.4706048481995764,1.0537435203448273,0.6,2,1.0,2.0,50.0
26.65,forward,DU25_A17,4.007,0.32513102071375094,1.001714332623688,0.6,2,1.0,2.0,50.0
26.65,aft,DU25_A17,4.007,0.4748689792862491,0.8809451381709142,0.6,2,1.0,2.0,50.0
30.75,forward,DU25_A17,3.748,0.31995731056563503,0.9368666578378381,0.6,2,1.0,2.0,50.0
30.75,aft,DU25_A17,3.748,0.480042689434365,0.8167221192192193,0.6,2,1.0,2.0,50.0
34.85,forward,DU21_A17,3.502,0.31433466590519704,0.7332503489655172,0.6,2,1.0,2.0,50.0
34.85,aft,DU21_A17,3.502,0.485665334094803,0.6537734786206895,0.6,2,1.0,2.0,50.0
38.95,forward,DU21_A17,3.256,0.30786240786240787,0.6804694052173912,0.6,2,1.0,2.0,50.0
38.95,aft,DU21_A17,3.256,0.4921375921375922,0.601330420869565,0.6,2,1.0,2.0,50.0
43.05,forward,NACA64_A17,3.01,0.3003322259136213,0.52896519,0.6,2,1.0,2.0,50.0
43.05,aft,NACA64_A17,3.01,0.49966777408637875,0.4884771399999999,0.6,2,1.0,2.0,50.0
47.15,forward,NACA64_A17,2.764,0.2914616497829233,0.48263483599999996,0.6,2,1.0,2.0,50.0
47.15,aft,NACA64_A17,2.764,0.5085383502170767,0.44233515999999995,0.6,2,1.0,2.0,50.0
51.25,forward,NACA64_A17,2.518,0.28085782366957907,0.435918276,0.6,2,1.0,2.0,50.0
51.25,aft,NACA64_A17,2.518,0.519142176330421,0.3961607439999999,0.6,2,1.0,2.0,50.0
54.6667,forward,NACA64_A17,2.313,0.27029831387808045,0.39657641400000004,0.6,2,1.0,2.0,50.0
54.6667,aft,NACA64_A17,2.313,0.5297016861219196,0.35739785400000007,0.6,2,1.0,2.0,50.0
57.4,forward,NACA64_A17,2.086,0.25618408437200385,0.3523904,0.6,2,1.0,2.0,50.0
57.4,aft,NACA64_A17,2.086,0.5438159156279962,0.314049334,0.6,2,1.0,2.0,50.0
60.1333,forward,NACA64_A17,1.419,0.18858350951374211,0.216115221,0.6,2,1.0,2.0,50.0
60.1333,aft,NACA64_A17,1.419,0.6114164904862579,0.183305919,0.6,2,1.0,2.0,50.0
