r_m,zone,n_cap_glass,n_web_db_per_skin,hybrid_n_cap_glass,hybrid_n_cap_carbon,shell_schedule
0.0,root,0,0,0,0,SNL Triax effective layers to 80-100 mm; no foam
1.367,root,0,0,0,0,SNL Triax effective layers to 80-100 mm; no foam
4.1,inner,0,6,0,0,8 DB + 16 Triax effective layers; PVC H100 50 mm
6.833,inner,112,10,34,72,8 DB + 16 Triax effective layers; PVC H100 50 mm
10.25,inner,86,10,26,56,8 DB + 16 Triax effective layers; PVC H100 50 mm
14.35,inner,72,10,22,46,8 DB + 16 Triax effective layers; PVC H100 50 mm
18.45,inner,68,10,20,44,8 DB + 16 Triax effective layers; PVC H100 50 mm
22.55,mid,58,10,18,38,4 DB + 8 Triax effective layers; PVC H100 40 mm
26.65,mid,58,10,18,38,4 DB + 8 Triax effective layers; PVC H100 40 mm
30.75,mid,58,10,18,38,4 DB + 8 Triax effective layers; PVC H100 40 mm
34.85,mid,52,8,16,34,4 DB + 8 Triax effective layers; PVC H100 40 mm
38.95,mid,52,8,16,34,4 DB + 8 Triax effective layers; PVC H100 40 mm
43.05,outer,40,6,12,26,4 DB + 4 Triax effective layers; PVC H100 30 mm
47.15,outer,38,6,12,26,4 DB + 4 Triax effective layers; PVC H100 30 mm
51.25,outer,26,4,8,18,4 DB + 4 Triax effective layers; PVC H100 30 mm
54.667,outer,0,4,0,0,4 DB + 4 Triax effective layers; PVC H100 30 mm
57.4,tip,0,0,0,0,6 SNL Triax effective layers; no spar cap
60.133,tip,0,0,0,0,6 SNL Triax effective layers; no spar cap
61.5,tip,0,0,0,0,6 SNL Triax effective layers; no spar cap
