# Airfoil polar: Cylinder1
# Source: Jonkman et al. NREL/TP-500-38060 (2009), AeroDyn blade file, Cd=0.50 for root cylinder
# alpha [deg], Cl [-], Cd [-]
alpha_deg,Cl,Cd
-20.00,0.000000,0.500000
-19.00,0.000000,0.500000
-18.00,0.000000,0.500000
-17.00,0.000000,0.500000
-16.00,0.000000,0.500000
-15.00,0.000000,0.500000
-14.00,0.000000,0.500000
-13.00,0.000000,0.500000
-12.00,0.000000,0.500000
-11.00,0.000000,0.500000
-10.00,0.000000,0.500000
-9.00,0.000000,0.500000
-8.00,0.000000,0.500000
-7.00,0.000000,0.500000
-6.00,0.000000,0.500000
-5.00,0.000000,0.500000
-4.00,0.000000,0.500000
-3.00,0.000000,0.500000
-2.00,0.000000,0.500000
-1.00,0.000000,0.500000
0.00,0.000000,0.500000
1.00,0.000000,0.500000
2.00,0.000000,0.500000
3.00,0.000000,0.500000
4.00,0.000000,0.500000
5.00,0.000000,0.500000
6.00,0.000000,0.500000
7.00,0.000000,0.500000
8.00,0.000000,0.500000
9.00,0.000000,0.500000
10.00,0.000000,0.500000
11.00,0.000000,0.500000
12.00,0.000000,0.500000
13.00,0.000000,0.500000
14.00,0.000000,0.500000
15.00,0.000000,0.500000
16.00,0.000000,0.500000
17.00,0.000000,0.500000
18.00,0.000000,0.500000
19.00,0.000000,0.500000
20.00,0.000000,0.500000
21.00,0.000000,0.500000
22.00,0.000000,0.500000
23.00,0.000000,0.500000
24.00,0.000000,0.500000
25.00,0.000000,0.500000
