# Airfoil polar: Cylinder2
# Source: Jonkman et al. NREL/TP-500-38060 (2009), AeroDyn blade file, Cd=0.35 for transition cylinder
# alpha [deg], Cl [-], Cd [-]
alpha_deg,Cl,Cd
-20.00,0.000000,0.350000
-19.00,0.000000,0.350000
-18.00,0.000000,0.350000
-17.00,0.000000,0.350000
-16.00,0.000000,0.350000
-15.00,0.000000,0.350000
-14.00,0.000000,0.350000
-13.00,0.000000,0.350000
-12.00,0.000000,0.350000
-11.00,0.000000,0.350000
-10.00,0.000000,0.350000
-9.00,0.000000,0.350000
-8.00,0.000000,0.350000
-7.00,0.000000,0.350000
-6.00,0.000000,0.350000
-5.00,0.000000,0.350000
-4.00,0.000000,0.350000
-3.00,0.000000,0.350000
-2.00,0.000000,0.350000
-1.00,0.000000,0.350000
0.00,0.000000,0.350000
1.00,0.000000,0.350000
2.00,0.000000,0.350000
3.00,0.000000,0.350000
4.00,0.000000,0.350000
5.00,0.000000,0.350000
6.00,0.000000,0.350000
7.00,0.000000,0.350000
8.00,0.000000,0.350000
9.00,0.000000,0.350000
10.00,0.000000,0.350000
11.00,0.000000,0.350000
12.00,0.000000,0.350000
13.00,0.000000,0.350000
14.00,0.000000,0.350000
15.00,0.000000,0.350000
16.00,0.000000,0.350000
17.00,0.000000,0.350000
18.00,0.000000,0.350000
19.00,0.000000,0.350000
20.00,0.000000,0.350000
21.00,0.000000,0.350000
22.00,0.000000,0.350000
23.00,0.000000,0.350000
24.00,0.000000,0.350000
25.00,0.000000,0.350000
