# Airfoil polar: DU25_A17
# Source: Timmer & van Rooij AIAA-2003-0352; Re~6e6
# alpha [deg], Cl [-], Cd [-]
alpha_deg,Cl,Cd
-20.00,-0.915775,0.153400
-19.00,-0.920445,0.140500
-18.00,-0.925115,0.128200
-17.00,-0.929785,0.116500
-16.00,-0.934455,0.105400
-15.00,-0.939125,0.094900
-14.00,-0.943795,0.085000
-13.00,-0.948465,0.075700
-12.00,-0.887300,0.067000
-11.00,-0.793900,0.058900
-10.00,-0.700500,0.051400
-9.00,-0.607100,0.044500
-8.00,-0.513700,0.038200
-7.00,-0.420300,0.032500
-6.00,-0.326900,0.027400
-5.00,-0.233500,0.022900
-4.00,-0.140100,0.019000
-3.00,-0.046700,0.015700
-2.00,0.046700,0.013000
-1.00,0.140100,0.010900
0.00,0.233500,0.009400
1.00,0.326900,0.008500
2.00,0.420300,0.008200
3.00,0.513700,0.008500
4.00,0.607100,0.009400
5.00,0.700500,0.010900
6.00,0.793900,0.013000
7.00,0.887300,0.015700
8.00,0.980700,0.019000
9.00,1.074100,0.022900
10.00,1.167500,0.027400
11.00,1.260900,0.032500
12.00,1.354300,0.038200
13.00,1.447700,0.044500
14.00,1.487445,0.055777
15.00,1.482775,0.071277
16.00,1.478105,0.087377
17.00,1.473435,0.104077
18.00,1.468765,0.121377
19.00,1.464095,0.139277
20.00,1.459425,0.157777
21.00,1.454755,0.176877
22.00,1.450085,0.196577
23.00,1.445415,0.216877
24.00,1.440745,0.237777
25.00,1.436075,0.259277
