# Airfoil polar: DU35_A17
# Source: Timmer & van Rooij AIAA-2003-0352; Lindenburg ECN-C-02-016 (2002); Re~4e6
# alpha [deg], Cl [-], Cd [-]
alpha_deg,Cl,Cd
-20.00,-0.762650,0.233880
-19.00,-0.767200,0.214980
-18.00,-0.771750,0.196920
-17.00,-0.776300,0.179700
-16.00,-0.780850,0.163320
-15.00,-0.785400,0.147780
-14.00,-0.789950,0.133080
-13.00,-0.794500,0.119220
-12.00,-0.799050,0.106200
-11.00,-0.728000,0.094020
-10.00,-0.637000,0.082680
-9.00,-0.546000,0.072180
-8.00,-0.455000,0.062520
-7.00,-0.364000,0.053700
-6.00,-0.273000,0.045720
-5.00,-0.182000,0.038580
-4.00,-0.091000,0.032280
-3.00,0.000000,0.026820
-2.00,0.091000,0.022200
-1.00,0.182000,0.018420
0.00,0.273000,0.015480
1.00,0.364000,0.013380
2.00,0.455000,0.012120
3.00,0.546000,0.011700
4.00,0.637000,0.012120
5.00,0.728000,0.013380
6.00,0.819000,0.015480
7.00,0.910000,0.018420
8.00,1.001000,0.022200
9.00,1.092000,0.026820
10.00,1.183000,0.032280
11.00,1.274000,0.038580
12.00,1.349250,0.047039
13.00,1.344700,0.063019
14.00,1.340150,0.079839
15.00,1.335600,0.097499
16.00,1.331050,0.115999
17.00,1.326500,0.135339
18.00,1.321950,0.155519
19.00,1.317400,0.176539
20.00,1.312850,0.198399
21.00,1.308300,0.221099
22.00,1.303750,0.244639
23.00,1.299200,0.269019
24.00,1.294650,0.294239
25.00,1.290100,0.320299
