# Airfoil polar: DU40_A17
# Source: Timmer & van Rooij AIAA-2003-0352 Table2; Lindenburg ECN-C-02-016 (2002); Re~3e6
# alpha [deg], Cl [-], Cd [-]
alpha_deg,Cl,Cd
-20.00,-0.659520,0.365000
-19.00,-0.663960,0.336800
-18.00,-0.668400,0.309800
-17.00,-0.672840,0.284000
-16.00,-0.677280,0.259400
-15.00,-0.681720,0.236000
-14.00,-0.686160,0.213800
-13.00,-0.690600,0.192800
-12.00,-0.695040,0.173000
-11.00,-0.699480,0.154400
-10.00,-0.621600,0.137000
-9.00,-0.532800,0.120800
-8.00,-0.444000,0.105800
-7.00,-0.355200,0.092000
-6.00,-0.266400,0.079400
-5.00,-0.177600,0.068000
-4.00,-0.088800,0.057800
-3.00,0.000000,0.048800
-2.00,0.088800,0.041000
-1.00,0.177600,0.034400
0.00,0.266400,0.029000
1.00,0.355200,0.024800
2.00,0.444000,0.021800
3.00,0.532800,0.020000
4.00,0.621600,0.019400
5.00,0.710400,0.020000
6.00,0.799200,0.021800
7.00,0.888000,0.024800
8.00,0.976800,0.029000
9.00,1.065600,0.034400
10.00,1.154400,0.041000
11.00,1.239840,0.049088
12.00,1.235400,0.066088
13.00,1.230960,0.084288
14.00,1.226520,0.103688
15.00,1.222080,0.124288
16.00,1.217640,0.146088
17.00,1.213200,0.169088
18.00,1.208760,0.193288
19.00,1.204320,0.218688
20.00,1.199880,0.245288
21.00,1.195440,0.273088
22.00,1.191000,0.302088
23.00,1.186560,0.332288
24.00,1.182120,0.363688
25.00,1.177680,0.396288
