# Airfoil polar: NACA64_A17
# Source: Abbott & von Doenhoff (1959) NACA 64-618; Lindenburg ECN-C-02-016 (2002); Re~6e6
# alpha [deg], Cl [-], Cd [-]
alpha_deg,Cl,Cd
-20.00,-0.906675,0.106300
-19.00,-0.911865,0.096550
-18.00,-0.917055,0.087300
-17.00,-0.922245,0.078550
-16.00,-0.927435,0.070300
-15.00,-0.932625,0.062550
-14.00,-0.937815,0.055300
-13.00,-0.943005,0.048550
-12.00,-0.948195,0.042300
-11.00,-0.882300,0.036550
-10.00,-0.778500,0.031300
-9.00,-0.674700,0.026550
-8.00,-0.570900,0.022300
-7.00,-0.467100,0.018550
-6.00,-0.363300,0.015300
-5.00,-0.259500,0.012550
-4.00,-0.155700,0.010300
-3.00,-0.051900,0.008550
-2.00,0.051900,0.007300
-1.00,0.155700,0.006550
0.00,0.259500,0.006300
1.00,0.363300,0.006550
2.00,0.467100,0.007300
3.00,0.570900,0.008550
4.00,0.674700,0.010300
5.00,0.778500,0.012550
6.00,0.882300,0.015300
7.00,0.986100,0.018550
8.00,1.089900,0.022300
9.00,1.193700,0.026550
10.00,1.297500,0.031300
11.00,1.401300,0.036550
12.00,1.447245,0.046547
13.00,1.442055,0.060797
14.00,1.436865,0.075547
15.00,1.431675,0.090797
16.00,1.426485,0.106547
17.00,1.421295,0.122797
18.00,1.416105,0.139547
19.00,1.410915,0.156797
20.00,1.405725,0.174547
21.00,1.400535,0.192797
22.00,1.395345,0.211547
23.00,1.390155,0.230797
24.00,1.384965,0.250547
25.00,1.379775,0.270797
