r,a,a_prime,phi_deg,alpha_deg,Cl,Cd,V_rel,dFn,dFt,dP,chord,twist,airfoil,Qflap_N,Mflap_Nm,Qedge_N,Medge_Nm
4.3667,0.052865473064045224,0.0,62.86716532323544,49.55916532323544,0.0,0.5,12.132495332359412,142.09909342243523,-72.8185675684335,-402.91132623838877,3.542,13.308,Cylinder1,193448.29166360782,7530700.295182682,28145.850942070174,1007668.6776272999
7.1,0.04027228887080083,0.0,50.57024060917684,37.26224060917684,0.0,0.5,14.16473616409774,182.91494191013604,-150.4072027378395,-1353.1345132592987,3.854,13.308,Cylinder1,193004.11123222054,7002555.118765098,28450.922441059243,930320.6972832461
9.8333,0.02591980598242917,0.0,41.70815329920741,28.40015329920741,0.0,0.35,16.69006977699053,165.55997588139394,-185.76721384945265,-2314.634088889321,4.167,13.308,Cylinder2,192527.86798582075,6475667.839366762,28910.355207488265,851927.9071848587
13.25,0.025375946886358244,0.0,33.49570130835689,20.187701308356893,0.0,0.35,20.132685617151296,218.52284921832913,-330.2058358008402,-5543.890081399299,4.557,13.308,Cylinder2,191871.72009156164,5818978.803074765,29791.81776685834,751644.0499841337
17.35,0.20583919477110918,0.03793897664291514,21.641203779083312,10.161203779083312,1.1681732508848783,0.04230381616522583,24.548814007131554,1891.3175691175957,672.2489128507844,14778.949868770591,4.652,11.48,DU40_A17,187546.547233973,5041171.355057419,29090.629458905954,630935.0331713168
21.45,0.1964290468717556,0.02507041330495757,18.200954588652515,8.038954588652514,1.0045448675673787,0.022379970199574616,29.328275959918106,2257.7026733087555,687.005326988387,18672.453619640975,4.458,10.162,DU35_A17,179041.05573699897,4289666.768966927,26304.158267235653,517375.7183327266
25.55,0.18793226752112635,0.017193166907519306,15.701633209505726,6.690633209505727,0.8818476220650211,0.017510461635946835,34.207753839576455,2599.7809968222914,675.4523308676389,21867.52327560587,4.249,9.011,DU35_A17,169083.21421323033,3576012.015568957,23511.120068630797,415254.39774420037
29.65,0.17847830305138557,0.012290824046855636,13.833957550659305,6.038957550659305,0.7889996776809197,0.01442271628457681,39.16769412290147,2897.5091074182883,657.5917963054834,24705.581053941576,4.007,7.795,DU30_A17,157813.76949953716,2905873.198957784,20778.379607925897,324460.92340725916
33.75,0.1817834175812045,0.00965419397739311,12.190238507565807,5.6462385075658075,0.7608586766066464,0.012257100865888194,44.173827534118196,3343.057943132432,666.0254881740898,28482.533377976746,3.748,6.544,DU25_A17,145020.60704590817,2285062.727039621,18064.96417474277,244832.06865278838
37.85,0.18682601330960222,0.007783337230601246,10.857294538973415,5.496294538973415,0.746853909940117,0.01194221853184417,49.21433346655427,3822.3145086631885,669.9340536848388,32130.088832123653,3.502,5.361,DU25_A17,130331.59351972715,1720590.7158800687,15326.247113931966,176380.08551100516
41.95,0.19029841956488125,0.006387870325542329,9.790063627689639,5.602063627689639,0.736639965523126,0.011500044710271691,54.28530790544503,4277.674568181049,669.5343034988229,35589.24594509304,3.256,4.188,DU21_A17,113726.61591219646,1220271.3865446253,12580.336981705459,119171.58811494845
46.05,0.19931441588671872,0.0054346575743635175,8.843495051160707,5.718495051160707,0.7479221704574724,0.011728250300274985,59.37331779781284,4814.775807498585,671.9692887498223,39209.65740092802,3.01,3.125,DU21_A17,95087.09264205323,792203.284008414,9830.25461759574,73229.87533638105
50.15,0.23423133350272426,0.005029536600266147,7.783557609199089,5.464557609199089,0.8267210798348654,0.013827533425297493,64.45899981845747,5774.870246643934,691.2012357395946,43922.7407075825,2.764,2.319,NACA64_A17,73378.31823106107,446849.1917185295,7035.755042392433,38654.5555334053
54.25,0.2504808253669667,0.004433418040537284,7.054608366259283,5.5286083662592835,0.8333695484177136,0.01400367300721303,69.57211372893742,6186.880137949401,660.30421730086,45389.75116756198,2.518,1.526,NACA64_A17,48856.72994264472,196267.34296243254,4265.168863659501,15487.661525998825
57.6667,0.2836672953809795,0.004176203009452187,6.350526068254985,5.487526068254985,0.8291052058848674,0.013890696687701208,73.82817628170507,6374.873211068472,601.5580124779456,43955.84198720104,2.313,0.863,NACA64_A17,27396.858608850045,65999.52496048652,2109.4665234168797,4597.553162486894
60.4,0.3489189556451361,0.004164794093847518,5.516476110356743,5.146476110356743,0.79370422025503,0.012952809303481043,77.20972106838838,6026.857865471921,482.9534772830397,36962.06481564093,2.086,0.37,NACA64_A17,10448.032833096118,14278.804071350807,627.3188959350292,857.3253691296077
63.1333,0.9499999005167361,0.0,0.408242790310325,0.302242790310325,0.29087280163421175,0.006375560697577581,79.99880565151231,1618.1374391752952,-23.93405319126107,-1914.6470670780304,1.419,0.106,NACA64_A17,0.0,0.0,0.0,0.0
