r,chord,alpha_deg,pitch_deg,Cl,Cd,dFn,dFt,Qflap_N,Mflap_Nm,Qedge_N,Medge_Nm
4.3667,3.542,-13.307999999999991,90.0,0.0,0.5,5315.21375,-3.25462975286075e-13,78874.48639341025,795759.0939396769,-157493.81549396296,-3071153.776106244
7.1,3.854,-13.307999999999991,90.0,0.0,0.5,5783.4087500000005,-3.5413165069241477e-13,63706.553953785246,600900.7151491821,-157493.81549396296,-2640675.930216595
9.8333,4.167,-13.307999999999991,90.0,0.0,0.35,4377.1730625,-2.680245490152321e-13,49820.59481973212,445748.8372778546,-157493.81549396296,-2210198.084326946
13.25,4.557,-13.307999999999991,90.0,0.0,0.35,4786.8436875,-2.931096399957794e-13,34165.24680486962,302271.6247384662,-157493.81549396296,-1672088.9649287227
17.35,4.652,-11.480000000000011,90.0,-0.6973488,0.16332800000000022,2280.3553203200026,-9736.254936072,19677.48883883861,191894.01666886432,-137534.49287501536,-1067280.9327723167
21.45,4.458,-10.162000000000011,90.0,-0.651742000000001,0.08451708000000013,1130.8023993483012,-8720.029340295014,12684.615513518593,125551.70274653209,-99699.110108463,-580952.0466561862
25.55,4.249,-9.010999999999997,90.0,-0.5470009999999998,0.07229549999999997,921.9347179743742,-6975.527006061247,8476.504423007107,82171.40687665438,-67523.21959843267,-238146.27075705002
29.65,4.007,-7.794999999999998,90.0,-0.4892579999999998,0.04233674999999999,509.14212594656203,-5883.820989007497,5542.796892969189,53431.83917890298,-41161.55620854176,-15342.480352752558
33.75,3.748,-6.544000000000002,90.0,-0.37770960000000026,0.03017440000000001,339.42232066399987,-4248.736311876003,3803.239777417536,34272.464004610185,-20389.81374173058,110837.8280453058
37.85,3.502,-5.361000000000008,90.0,-0.2672174000000007,0.024524500000000032,257.7617529987501,-2808.555748568507,2579.012426408898,21188.846986765988,-5922.365017819332,164777.79450238316
41.95,3.256,-4.187999999999999,90.0,-0.2120171999999999,0.018564319999999995,181.41183454239982,-2071.846919603999,1678.7065719495406,12460.523040131184,4082.4604519343093,168549.59886244746
46.05,3.01,-3.1249999999999964,90.0,-0.10901249999999965,0.01518499999999999,137.17768356249982,-984.7930345312467,1025.5980598344972,6916.698544973914,10348.572357911555,138965.9816022635
50.15,2.764,-2.319000000000011,90.0,0.018787799999998852,0.007698750000000014,63.86463418125012,155.85334944899049,613.4613084598097,3556.626839970583,12047.898712330181,93053.21590826791
54.25,2.518,-1.5260000000000042,90.0,0.10110119999999956,0.006944500000000004,52.48061081375007,764.0366808269965,374.9535562200592,1530.3763673768515,10162.124150264408,47522.669039948996
57.6667,2.313,-0.8630000000000023,90.0,0.16992059999999976,0.006515750000000001,45.231627912187584,1179.5703263347484,208.02685319260368,534.4417849567293,6841.763119579642,18474.07822251092
60.4,2.086,-0.37000000000000244,90.0,0.22109399999999976,0.006392500000000001,40.02093344375009,1384.1827546049983,91.51644021551147,125.07094302052873,3338.009971513338,4561.891327568703
63.1333,1.419,-0.10599999999999087,90.0,0.24849720000000095,0.006326499999999998,26.94313212937506,1058.2933523085042,0.0,0.0,0.0,0.0
