r_m,zone,chord_m,tc,cap_width_m,cap_separation_m,n_cap_glass,n_cap_carbon,n_web_db_per_skin,EI_flap_Nm2,M_uop_design_Nm,M_park_fault_design_Nm,deflection_uop_m,deflection_park_fault_m,cap_RF,web_RF,shell_RF
0.0,root,3.542,1.0,0.6375599999999999,2.6565,0,0,0,18620000000.0,10166445.39825,31197152.710070807,0.0,0.0,inf,inf,2.83885475304013
1.367,root,3.5420342443200523,1.0,0.6375661639776093,2.656525683240039,0,0,0,18620000000.0,9809856.104796598,29769920.636369083,0.000501201596125492,0.0015296522465720384,inf,inf,2.974926607874148
4.1,inner,3.854,1.0,0.69372,2.8905000000000003,0,0,6,18620000000.0,9097787.48481401,26943303.41915724,0.004401443521329523,0.013333556300179591,inf,1.3681230769836312,3.0209541668829387
6.833,inner,4.166965645922511,0.5500493908462297,0.750053816266052,1.7190276864126328,112,0,10,18686324698.01978,8387612.154866128,24170727.764493544,0.011948406595253251,0.03594240308458538,6.121914745275666,1.3800880681926873,23.671155817891993
10.25,inner,4.557,0.55,0.82026,1.8797625000000002,86,0,10,18705712586.48533,7505599.495450041,20800898.065314695,0.02605429992857342,0.07762943771199166,6.512161681593447,1.5653688894433442,27.654943088082693
14.35,inner,4.652,0.4,0.83736,1.3956000000000002,72,0,10,8762087239.503944,6467396.017208841,16994971.739363156,0.050745318199065345,0.14889849852568504,5.028774367533462,1.2728443901046524,21.139867112935608
18.45,inner,4.458,0.35,0.80244,1.1702249999999998,68,0,10,5582176128.910852,5469897.666147502,13588955.102055162,0.08744437225307244,0.2513734805951539,4.778417411724876,1.2196771552525005,23.209086344569965
22.55,mid,4.249,0.35,0.7648199999999999,1.1153624999999998,58,0,10,3688809311.219749,4526046.398251137,10627000.34695316,0.14063761102075212,0.394567212662981,4.236385339882815,1.3464009346689394,24.981382337282458
26.65,mid,4.007,0.3,0.7212599999999999,0.9015749999999998,58,0,10,2262212478.1374226,3643557.2923679766,8087977.310852361,0.2150300942324052,0.5872300396877632,4.223063321694137,1.2803370931915716,26.261366584033176
30.75,mid,3.748,0.25,0.67464,0.70275,58,0,10,1459527184.7181234,2830816.0809885063,5948192.479582762,0.31626706941692134,0.8391767006117212,4.752939708031161,1.1963334632823468,29.774857731377267
34.85,mid,3.502,0.25,0.6303599999999999,0.656625,52,0,8,978965859.8231281,2097648.276876546,4182693.0905764224,0.4495792969467324,1.1583577395197995,4.85210419560236,1.0983827733079805,33.97728835420973
38.95,mid,3.256,0.21,0.5860799999999999,0.5128199999999999,52,0,8,595082591.1343603,1454731.0273502169,2766367.7460322026,0.6193253799672104,1.5501128522897705,5.710029648504004,1.0892066142679415,38.83384217729068
43.05,outer,3.01,0.21,0.5418,0.47407499999999997,40,0,6,360236209.85518396,914061.3013869927,1673960.0978268092,0.829286388832901,2.0184241826906666,6.179184945816183,1.0060677225288088,45.984924812559484
47.15,outer,2.764,0.18,0.49751999999999996,0.37313999999999997,38,0,6,199688987.0252308,490481.826579289,880056.3469520893,1.081169873809089,2.5638494035476445,8.277664343536381,1.139494104290319,59.33563093471169
51.25,outer,2.518,0.18,0.4532399999999999,0.33993,26,0,4,99983120.4146232,194615.26185006648,352759.56549492513,1.3725414478847304,3.180672164464697,11.349961230591385,1.155363119227065,87.4937099059343
54.667,outer,2.3129750850620128,0.18,0.4163355153111623,0.31225163648337173,0,0,4,52310000.0,54178.931239572645,103726.81182666407,1.6394999287356085,3.7386209608901977,inf,2.146574430642158,20.406909695376296
57.4,tip,2.086,0.18,0.37548,0.28160999999999997,0,0,0,27430000.0,9637.840126819869,19735.743291890856,1.8625724402629924,4.20279492690761,inf,inf,62.36092131169547
60.133,tip,1.4190732082098552,0.18,0.25543317747777394,0.19157488310833046,0,0,0,10980000.0,0.0,0.0,2.088891199215334,4.673358710502761,inf,inf,4187.820124566262
61.5,tip,1.419,0.18,0.25542,0.191565,0,0,0,3091000.0,0.0,0.0,2.2024201559229843,4.9093987016933305,inf,inf,inf
