r_m,zone,chord_m,tc,cap_width_m,cap_separation_m,n_cap_glass,n_cap_carbon,n_web_db_per_skin,EI_flap_Nm2,M_uop_design_Nm,M_park_fault_design_Nm,deflection_uop_m,deflection_park_fault_m,cap_RF,web_RF,shell_RF
0.0,root,3.542,1.0,0.6375599999999999,2.6565,0,0,0,18620000000.0,10166445.39825,31197152.710070807,0.0,0.0,inf,inf,2.83885475304013
1.367,root,3.5420342443200523,1.0,0.6375661639776093,2.656525683240039,0,0,0,18620000000.0,9809856.104796598,29769920.636369083,0.000501201596125492,0.0015296522465720384,inf,inf,2.974926607874148
4.1,inner,3.854,1.0,0.69372,2.8905000000000003,0,0,6,18620000000.0,9097787.48481401,26943303.41915724,0.004401443521329523,0.013333556300179591,inf,1.3681230769836312,3.0209541668829387
6.833,inner,4.166965645922511,0.5500493908462297,0.750053816266052,1.7190276864126328,34,72,10,18672932900.050156,8387612.154866128,24170727.764493544,0.011949007713725188,0.03594413533813635,3.525573632513881,1.3800880681926873,23.671155817891993
10.25,inner,4.557,0.55,0.82026,1.8797625000000002,26,56,10,18728841774.580067,7505599.495450041,20800898.065314695,0.02605589742604842,0.07763420083529085,3.757777299930593,1.5653688894433442,27.654943088082693
14.35,inner,4.652,0.4,0.83736,1.3956000000000002,22,46,10,8750621832.985233,6467396.017208841,16994971.739363156,0.050749485025032126,0.14891024644418724,2.894249202366982,1.2728443901046524,21.139867112935608
18.45,inner,4.458,0.35,0.80244,1.1702249999999998,20,44,10,5571152138.253496,5469897.666147502,13588955.102055162,0.08746530297384636,0.2514280455464513,2.748616013172908,1.2196771552525005,23.209086344569965
22.55,mid,4.249,0.35,0.7648199999999999,1.1153624999999998,18,38,10,3706887083.640772,4526046.398251137,10627000.34695316,0.14067052045156847,0.39465671858925755,2.4534074951609863,1.3464009346689394,24.981382337282458
26.65,mid,4.007,0.3,0.7212599999999999,0.9015749999999998,18,38,10,2273351554.2016587,3643557.2923679766,8087977.310852361,0.2149996728440467,0.5871830240224988,2.4457489751932098,1.2803370931915716,26.261366584033176
30.75,mid,3.748,0.25,0.67464,0.70275,18,38,10,1465857529.9714584,2830816.0809885063,5948192.479582762,0.31604664040005526,0.8387129168176493,2.7510150016537107,1.1963334632823468,29.774857731377267
34.85,mid,3.502,0.25,0.6303599999999999,0.656625,16,34,8,982497961.3392854,2097648.276876546,4182693.0905764224,0.4490329227245925,1.1571910906442464,2.8064106835118,1.0983827733079805,33.97728835420973
38.95,mid,3.256,0.21,0.5860799999999999,0.5128199999999999,16,34,8,597085662.9151931,1454731.0273502169,2766367.7460322026,0.6183186512218921,1.547974735551626,3.3018303579102124,1.0892066142679415,38.83384217729068
43.05,outer,3.01,0.21,0.5418,0.47407499999999997,12,26,6,360356516.62122965,914061.3013869927,1673960.0978268092,0.8277144440075129,2.0151124501068725,3.5624665887694715,1.0060677225288088,45.984924812559484
47.15,outer,2.764,0.18,0.49751999999999996,0.37313999999999997,12,26,6,202392373.8844196,490481.826579289,880056.3469520893,1.078853251658506,2.559038089063022,4.835288957638729,1.139494104290319,59.33563093471169
51.25,outer,2.518,0.18,0.4532399999999999,0.33993,8,18,4,101398133.37203479,194615.26185006648,352759.56549492513,1.369086681892424,3.17365305880483,6.634478087314469,1.155363119227065,87.4937099059343
54.667,outer,2.3129750850620128,0.18,0.4163355153111623,0.31225163648337173,0,0,4,52310000.0,54178.931239572645,103726.81182666407,1.6348072830383469,3.7292395094341844,inf,2.146574430642158,20.406909695376296
57.4,tip,2.086,0.18,0.37548,0.28160999999999997,0,0,0,27430000.0,9637.840126819869,19735.743291890856,1.8568262912241151,4.19140906409832,inf,inf,62.36092131169547
60.133,tip,1.4190732082098552,0.18,0.25543317747777394,0.19157488310833046,0,0,0,10980000.0,0.0,0.0,2.082091546834841,4.659968436340193,inf,inf,4187.820124566262
61.5,tip,1.419,0.18,0.25542,0.191565,0,0,0,3091000.0,0.0,0.0,2.1950935591341536,4.895005855148791,inf,inf,inf
