r_m,design,web_ply_multiplier,web_support_spacing_m,cap_sigma_compression_Pa,cap_sigma_cr_Pa,cap_buckling_RF,web_tau_Pa,web_tau_cr_Pa,web_shear_buckling_RF
0.0,glass,1.0,,0.0,inf,inf,0.0,inf,inf
1.367,glass,1.0,,0.0,inf,inf,0.0,inf,inf
4.1,glass,1.0,,0.0,inf,inf,18127024.10858955,104753.97521631472,0.005778884310452079
6.833,glass,1.0,,185889553.7345084,2755156584.0199466,14.821470753299685,17969867.700165804,593717.977137567,0.03303964097254255
10.25,glass,1.0,,174749961.01778993,1358278812.0112622,7.7726987983304126,15842911.001520574,481702.7277477366,0.030404938063560646
14.35,glass,1.0,,226297685.44540453,913557024.9732239,4.036970255242068,19483921.359751575,816028.8519219751,0.04188216719082363
18.45,glass,1.0,,238154163.1770537,887335338.7080959,3.7258863203177093,20333249.57608626,1139527.669475416,0.0560425752515035
22.55,glass,1.0,,268625233.2351521,710612112.3525016,2.645366199572317,18419476.220950454,1249353.1761271334,0.06782783403504761
26.65,glass,1.0,,269472634.74692047,799037906.9610573,2.965191280782505,19369898.858572923,1885620.3847068902,0.0973479726700965
30.75,glass,1.0,,239430767.04236192,913286217.0407051,3.8144062616610985,20730006.10712412,3071275.8387794057,0.14815605084283714
34.85,glass,1.0,,234537420.08084086,840861531.7717077,3.5851913587259454,22578649.81377145,2246819.366406192,0.09951079382239164
38.95,glass,1.0,,199298439.7722261,972720291.5779703,4.880722060291447,22768866.508094188,3663166.2011110857,0.16088487320213563
43.05,glass,1.0,,184166683.79063818,673499181.5074174,3.6570087903252655,24650428.042422213,2408039.694204349,0.09768754076238463
47.15,glass,1.0,,137478393.99753,720843848.4690692,5.243324623664284,21764044.154880054,3875954.30594092,0.17808980161767554
51.25,glass,1.0,,100264659.66533573,406616806.53442746,4.055434964738689,21465113.07768863,2075562.1550342173,0.09669467603185412
54.667,glass,1.0,,0.0,inf,inf,11553291.442394085,2462767.5166396145,0.2131658782191404
57.4,glass,1.0,,0.0,inf,inf,0.0,inf,inf
60.133,glass,1.0,,0.0,inf,inf,0.0,inf,inf
61.5,glass,1.0,,0.0,inf,inf,0.0,inf,inf
