r_m,component,damage_20y,status
0.0,shell_and_TE_SNL_Triax,8.910000000000004e-07,PASS
1.367,shell_and_TE_SNL_Triax,3.6622415793274224e-05,PASS
4.1,shell_and_TE_SNL_Triax,1.4709999999999993e-05,PASS
6.833,spar_cap_glass_UD,4.830669929525739e-06,PASS
6.833,shell_and_TE_SNL_Triax,0.000390006534432941,PASS
10.25,spar_cap_glass_UD,0.0005549468796574551,PASS
10.25,shell_and_TE_SNL_Triax,0.24046499999999998,PASS
14.35,spar_cap_glass_UD,0.00013257773741678694,PASS
14.35,shell_and_TE_SNL_Triax,0.02590599999999999,PASS
18.45,spar_cap_glass_UD,5.794782741698043e-05,PASS
18.45,shell_and_TE_SNL_Triax,0.003994499999999999,PASS
22.55,spar_cap_glass_UD,4.094809189775667e-05,PASS
22.55,shell_and_TE_SNL_Triax,0.0008367000000000003,PASS
26.65,spar_cap_glass_UD,6.233109196183941e-05,PASS
26.65,shell_and_TE_SNL_Triax,0.0010862009950379236,PASS
30.75,spar_cap_glass_UD,2.6703044108034047e-05,PASS
30.75,shell_and_TE_SNL_Triax,0.0005558305331053919,PASS
34.85,spar_cap_glass_UD,3.4528095894173894e-05,PASS
34.85,shell_and_TE_SNL_Triax,0.000356217892165086,PASS
38.95,spar_cap_glass_UD,1.1719160913725747e-05,PASS
38.95,shell_and_TE_SNL_Triax,0.0002227981037837726,PASS
43.05,spar_cap_glass_UD,7.968160463833927e-06,PASS
43.05,shell_and_TE_SNL_Triax,7.820664613575074e-05,PASS
47.15,spar_cap_glass_UD,6.890819845438981e-07,PASS
47.15,shell_and_TE_SNL_Triax,1.1861265137226597e-05,PASS
51.25,spar_cap_glass_UD,1.719512366732209e-07,PASS
51.25,shell_and_TE_SNL_Triax,1.0044925860113827e-06,PASS
54.667,shell_and_TE_SNL_Triax,1.2054743412560858e-09,PASS
57.4,shell_and_TE_SNL_Triax,1.2840461374395108e-10,PASS
60.133,shell_and_TE_SNL_Triax,0.0,PASS
61.5,shell_and_TE_SNL_Triax,0.0,PASS
1.3667,web_face_forward,4.3078200625659465e-06,PASS
1.3667,web_face_aft,4.3078200625659465e-06,PASS
4.1,web_face_forward,1.0378067778811234e-06,PASS
4.1,web_face_aft,1.0378067778811192e-06,PASS
6.8333,web_face_forward,4.218216375373273e-07,PASS
6.8333,web_face_aft,4.218216375373273e-07,PASS
10.25,web_face_forward,0.0023943609488178766,PASS
10.25,web_face_aft,0.0023943609488178766,PASS
14.35,web_face_forward,0.006896203690720472,PASS
14.35,web_face_aft,0.00689620369072046,PASS
18.45,web_face_forward,0.006214377899401847,PASS
18.45,web_face_aft,0.006214377899401858,PASS
22.55,web_face_forward,0.01929084899524061,PASS
22.55,web_face_aft,0.019290848995240643,PASS
26.65,web_face_forward,0.05525279164532104,PASS
26.65,web_face_aft,0.05525279164532104,PASS
30.75,web_face_forward,0.029305000795418472,PASS
30.75,web_face_aft,0.029305000795418513,PASS
34.85,web_face_forward,0.05241505806161756,PASS
34.85,web_face_aft,0.05241505806161756,PASS
38.95,web_face_forward,0.022652712221166424,PASS
38.95,web_face_aft,0.02265271222116639,PASS
43.05,web_face_forward,0.028700451237074705,PASS
43.05,web_face_aft,0.028700451237074705,PASS
47.15,web_face_forward,0.00245789607470794,PASS
47.15,web_face_aft,0.0024578960747079453,PASS
51.25,web_face_forward,0.00012477430441738143,PASS
51.25,web_face_aft,0.0001247743044173816,PASS
54.6667,web_face_forward,6.376482688157219e-07,PASS
54.6667,web_face_aft,6.376482688157233e-07,PASS
57.4,web_face_forward,2.289419409060548e-09,PASS
57.4,web_face_aft,2.289419409060548e-09,PASS
60.1333,web_face_forward,2.3442030629416864e-07,PASS
60.1333,web_face_aft,2.3442030629416803e-07,PASS
