r_m,component,damage_20y,life_years_linear,status,basis
0.0,shell_and_TE_SNL_Triax,8.910000000000004e-07,22446689.113355767,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
1.367,shell_and_TE_SNL_Triax,3.6622415793274224e-05,546113.6183067705,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
4.1,shell_and_TE_SNL_Triax,1.4709999999999993e-05,1359619.3065941543,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
6.833,spar_cap_glass_UD,4.830669929525739e-06,4140212.4947012356,PASS,SAND carbon-cap damage transferred by equivalent strain to E-LT-5500
6.833,shell_and_TE_SNL_Triax,0.000390006534432941,51281.19206792127,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
10.25,spar_cap_glass_UD,0.0005549468796574551,36039.485459122036,PASS,SAND carbon-cap damage transferred by equivalent strain to E-LT-5500
10.25,shell_and_TE_SNL_Triax,0.24046499999999998,83.17218722059344,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
14.35,spar_cap_glass_UD,0.00013257773741678694,150854.8900417998,PASS,SAND carbon-cap damage transferred by equivalent strain to E-LT-5500
14.35,shell_and_TE_SNL_Triax,0.02590599999999999,772.0219254226822,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
18.45,spar_cap_glass_UD,5.794782741698043e-05,345138.0473004482,PASS,SAND carbon-cap damage transferred by equivalent strain to E-LT-5500
18.45,shell_and_TE_SNL_Triax,0.003994499999999999,5006.884466140945,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
22.55,spar_cap_glass_UD,4.094809189775667e-05,488423.2469229096,PASS,SAND carbon-cap damage transferred by equivalent strain to E-LT-5500
22.55,shell_and_TE_SNL_Triax,0.0008367000000000003,23903.4301422254,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
26.65,spar_cap_glass_UD,6.233109196183941e-05,320867.1526602563,PASS,SAND carbon-cap damage transferred by equivalent strain to E-LT-5500
26.65,shell_and_TE_SNL_Triax,0.0010862009950379236,18412.798452004474,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
30.75,spar_cap_glass_UD,2.6703044108034047e-05,748978.2782474105,PASS,SAND carbon-cap damage transferred by equivalent strain to E-LT-5500
30.75,shell_and_TE_SNL_Triax,0.0005558305331053919,35982.19026986733,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
34.85,spar_cap_glass_UD,3.4528095894173894e-05,579238.4283598652,PASS,SAND carbon-cap damage transferred by equivalent strain to E-LT-5500
34.85,shell_and_TE_SNL_Triax,0.000356217892165086,56145.41110902756,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
38.95,spar_cap_glass_UD,1.1719160913725747e-05,1706606.8251162544,PASS,SAND carbon-cap damage transferred by equivalent strain to E-LT-5500
38.95,shell_and_TE_SNL_Triax,0.0002227981037837726,89767.37081842565,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
43.05,spar_cap_glass_UD,7.968160463833927e-06,2509989.613132977,PASS,SAND carbon-cap damage transferred by equivalent strain to E-LT-5500
43.05,shell_and_TE_SNL_Triax,7.820664613575074e-05,255732.74124662104,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
47.15,spar_cap_glass_UD,6.890819845438981e-07,29024122.598761532,PASS,SAND carbon-cap damage transferred by equivalent strain to E-LT-5500
47.15,shell_and_TE_SNL_Triax,1.1861265137226597e-05,1686160.773628605,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
51.25,spar_cap_glass_UD,1.719512366732209e-07,116312045.12944764,PASS,SAND carbon-cap damage transferred by equivalent strain to E-LT-5500
51.25,shell_and_TE_SNL_Triax,1.0044925860113827e-06,19910550.1409578,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
54.667,shell_and_TE_SNL_Triax,1.2054743412560858e-09,16590979430.686436,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
57.4,shell_and_TE_SNL_Triax,1.2840461374395108e-10,155757643100.59433,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
60.133,shell_and_TE_SNL_Triax,0.0,inf,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
61.5,shell_and_TE_SNL_Triax,0.0,inf,PASS,SAND Table 26 flap+edge Miner damage; outboard target-shape extension
