r_m,web,design_variant,split_method,face_layers_each_side,core_thickness_m,core_shear_range_MPa,core_damage_20y,core_fatigue_status
1.3667,forward,day4_baseline,stiffness_based,2,0.05,0.01660354570047835,5.365843181261552e-19,SOURCED_CURVE_PASS
1.3667,aft,day4_baseline,stiffness_based,2,0.05,0.01660354570047835,5.365843181261552e-19,SOURCED_CURVE_PASS
1.3667,forward,day4_baseline,equal_50_50,2,0.05,0.01660354570047835,5.365843181261552e-19,SOURCED_CURVE_PASS
1.3667,aft,day4_baseline,equal_50_50,2,0.05,0.01660354570047835,5.365843181261552e-19,SOURCED_CURVE_PASS
1.3667,forward,fatigue_reinforced_legacy,stiffness_based,2,0.05,0.01660354570047835,5.365843181261552e-19,SOURCED_CURVE_PASS
1.3667,aft,fatigue_reinforced_legacy,stiffness_based,2,0.05,0.01660354570047835,5.365843181261552e-19,SOURCED_CURVE_PASS
4.1,forward,day4_baseline,stiffness_based,2,0.05,0.014400803906166054,9.614430967629489e-20,SOURCED_CURVE_PASS
4.1,aft,day4_baseline,stiffness_based,2,0.05,0.014400803906166054,9.614430967629489e-20,SOURCED_CURVE_PASS
4.1,forward,day4_baseline,equal_50_50,2,0.05,0.014400803906166054,9.614430967629489e-20,SOURCED_CURVE_PASS
4.1,aft,day4_baseline,equal_50_50,2,0.05,0.014400803906166054,9.614430967629489e-20,SOURCED_CURVE_PASS
4.1,forward,fatigue_reinforced_legacy,stiffness_based,2,0.05,0.014400803906166054,9.614430967629489e-20,SOURCED_CURVE_PASS
4.1,aft,fatigue_reinforced_legacy,stiffness_based,2,0.05,0.014400803906166054,9.614430967629489e-20,SOURCED_CURVE_PASS
6.8333,forward,day4_baseline,stiffness_based,2,0.05,0.013178571513009475,3.293224399307744e-20,SOURCED_CURVE_PASS
6.8333,aft,day4_baseline,stiffness_based,2,0.05,0.013178571513009475,3.293224399307744e-20,SOURCED_CURVE_PASS
6.8333,forward,day4_baseline,equal_50_50,2,0.05,0.013377347859014671,3.946041542236309e-20,SOURCED_CURVE_PASS
6.8333,aft,day4_baseline,equal_50_50,2,0.05,0.012985615979356093,2.7557478412347614e-20,SOURCED_CURVE_PASS
6.8333,forward,fatigue_reinforced_legacy,stiffness_based,2,0.05,0.013178571513009475,3.293224399307744e-20,SOURCED_CURVE_PASS
6.8333,aft,fatigue_reinforced_legacy,stiffness_based,2,0.05,0.013178571513009475,3.293224399307744e-20,SOURCED_CURVE_PASS
10.25,forward,day4_baseline,stiffness_based,3,0.05,0.020847428079089975,8.390074476718501e-18,SOURCED_CURVE_PASS
10.25,aft,day4_baseline,stiffness_based,3,0.05,0.020847428079089972,8.390074476718472e-18,SOURCED_CURVE_PASS
10.25,forward,day4_baseline,equal_50_50,3,0.05,0.019430360005299647,3.584762941399034e-18,SOURCED_CURVE_PASS
10.25,aft,day4_baseline,equal_50_50,3,0.05,0.022487451727396166,2.094353344757265e-17,SOURCED_CURVE_PASS
10.25,forward,fatigue_reinforced_legacy,stiffness_based,3,0.05,0.020847428079089975,8.390074476718501e-18,SOURCED_CURVE_PASS
10.25,aft,fatigue_reinforced_legacy,stiffness_based,3,0.05,0.020847428079089972,8.390074476718472e-18,SOURCED_CURVE_PASS
14.35,forward,day4_baseline,stiffness_based,3,0.05,0.023154244129877197,2.9809147164704105e-17,SOURCED_CURVE_PASS
14.35,aft,day4_baseline,stiffness_based,3,0.05,0.023154244129877207,2.9809147164704284e-17,SOURCED_CURVE_PASS
14.35,forward,day4_baseline,equal_50_50,3,0.05,0.021395987270137175,1.1482233191825644e-17,SOURCED_CURVE_PASS
14.35,aft,day4_baseline,equal_50_50,3,0.05,0.025227350732455755,8.398878137777304e-17,SOURCED_CURVE_PASS
14.35,forward,fatigue_reinforced_legacy,stiffness_based,4,0.05,0.017432357622389226,9.66482107200129e-19,SOURCED_CURVE_PASS
14.35,aft,fatigue_reinforced_legacy,stiffness_based,4,0.05,0.017432357622389223,9.664821072001249e-19,SOURCED_CURVE_PASS
18.45,forward,day4_baseline,stiffness_based,3,0.05,0.02290723494679778,2.618675360075221e-17,SOURCED_CURVE_PASS
18.45,aft,day4_baseline,stiffness_based,3,0.05,0.02290723494679778,2.618675360075221e-17,SOURCED_CURVE_PASS
18.45,forward,day4_baseline,equal_50_50,3,0.05,0.021100056629440863,9.704159955206132e-18,SOURCED_CURVE_PASS
18.45,aft,day4_baseline,equal_50_50,3,0.05,0.025052972748944424,7.723812803770695e-17,SOURCED_CURVE_PASS
18.45,forward,fatigue_reinforced_legacy,stiffness_based,4,0.05,0.01724638945209173,8.490356554297152e-19,SOURCED_CURVE_PASS
18.45,aft,fatigue_reinforced_legacy,stiffness_based,4,0.05,0.01724638945209173,8.490356554297152e-19,SOURCED_CURVE_PASS
22.55,forward,day4_baseline,stiffness_based,3,0.05,0.025645003099998846,1.0241536036679609e-16,SOURCED_CURVE_PASS
22.55,aft,day4_baseline,stiffness_based,3,0.05,0.025645003099998846,1.0241536036679609e-16,SOURCED_CURVE_PASS
22.55,forward,day4_baseline,equal_50_50,3,0.05,0.023530903065279756,3.622480290183558e-17,SOURCED_CURVE_PASS
22.55,aft,day4_baseline,equal_50_50,3,0.05,0.028176478122985005,3.1933258816968994e-16,SOURCED_CURVE_PASS
22.55,forward,fatigue_reinforced_legacy,stiffness_based,4,0.05,0.019307599192564577,3.3205449572258526e-18,SOURCED_CURVE_PASS
22.55,aft,fatigue_reinforced_legacy,stiffness_based,4,0.05,0.019307599192564577,3.3205449572258526e-18,SOURCED_CURVE_PASS
26.65,forward,day4_baseline,stiffness_based,3,0.05,0.028557114715736007,3.7552673895161954e-16,SOURCED_CURVE_PASS
26.65,aft,day4_baseline,stiffness_based,3,0.05,0.02855711471573601,3.7552673895161954e-16,SOURCED_CURVE_PASS
26.65,forward,day4_baseline,equal_50_50,3,0.05,0.02683565599851782,1.7719659679562637e-16,SOURCED_CURVE_PASS
26.65,aft,day4_baseline,equal_50_50,3,0.05,0.030514569039892667,8.364871514404321e-16,SOURCED_CURVE_PASS
26.65,forward,fatigue_reinforced_legacy,stiffness_based,5,0.05,0.01723976950513366,8.451071635075158e-19,SOURCED_CURVE_PASS
26.65,aft,fatigue_reinforced_legacy,stiffness_based,5,0.05,0.017239769505133663,8.451071635075176e-19,SOURCED_CURVE_PASS
30.75,forward,day4_baseline,stiffness_based,3,0.05,0.026791772007341015,1.7372774670241417e-16,SOURCED_CURVE_PASS
30.75,aft,day4_baseline,stiffness_based,3,0.05,0.026791772007341008,1.7372774670241368e-16,SOURCED_CURVE_PASS
30.75,forward,day4_baseline,equal_50_50,3,0.05,0.025073872741918357,7.802010451642229e-17,SOURCED_CURVE_PASS
30.75,aft,day4_baseline,equal_50_50,3,0.05,0.02876238417202344,4.0946462710096226e-16,SOURCED_CURVE_PASS
30.75,forward,fatigue_reinforced_legacy,stiffness_based,4,0.05,0.020170978087202293,5.632658921248456e-18,SOURCED_CURVE_PASS
30.75,aft,fatigue_reinforced_legacy,stiffness_based,4,0.05,0.020170978087202293,5.632658921248456e-18,SOURCED_CURVE_PASS
34.85,forward,day4_baseline,stiffness_based,3,0.05,0.028424551675492144,3.550019825757509e-16,SOURCED_CURVE_PASS
34.85,aft,day4_baseline,stiffness_based,3,0.05,0.028424551675492144,3.550019825757509e-16,SOURCED_CURVE_PASS
34.85,forward,day4_baseline,equal_50_50,3,0.05,0.026884085713689245,1.8109842965432866e-16,SOURCED_CURVE_PASS
34.85,aft,day4_baseline,equal_50_50,3,0.05,0.030152286496495522,7.241031520703749e-16,SOURCED_CURVE_PASS
34.85,forward,fatigue_reinforced_legacy,stiffness_based,5,0.05,0.01715974194347511,7.989170607976077e-19,SOURCED_CURVE_PASS
34.85,aft,fatigue_reinforced_legacy,stiffness_based,5,0.05,0.0171597419434751,7.989170607976027e-19,SOURCED_CURVE_PASS
38.95,forward,day4_baseline,stiffness_based,3,0.05,0.026126760338498044,1.2823464948939483e-16,SOURCED_CURVE_PASS
38.95,aft,day4_baseline,stiffness_based,3,0.05,0.026126760338498044,1.2823464948939483e-16,SOURCED_CURVE_PASS
38.95,forward,day4_baseline,equal_50_50,3,0.05,0.024607481689351982,6.218751849428084e-17,SOURCED_CURVE_PASS
38.95,aft,day4_baseline,equal_50_50,3,0.05,0.027845985913763173,2.7691342004611294e-16,SOURCED_CURVE_PASS
38.95,forward,fatigue_reinforced_legacy,stiffness_based,4,0.05,0.019670304380502716,4.157666556838914e-18,SOURCED_CURVE_PASS
38.95,aft,fatigue_reinforced_legacy,stiffness_based,4,0.05,0.019670304380502716,4.157666556838914e-18,SOURCED_CURVE_PASS
43.05,forward,day4_baseline,stiffness_based,2,0.05,0.03990302923514906,2.1367940806654234e-14,SOURCED_CURVE_PASS
43.05,aft,day4_baseline,stiffness_based,2,0.05,0.03990302923514906,2.1367940806654234e-14,SOURCED_CURVE_PASS
43.05,forward,day4_baseline,equal_50_50,2,0.05,0.03837590053805636,1.3336425736659631e-14,SOURCED_CURVE_PASS
43.05,aft,day4_baseline,equal_50_50,2,0.05,0.041556735939647226,3.489797803590162e-14,SOURCED_CURVE_PASS
43.05,forward,fatigue_reinforced_legacy,stiffness_based,4,0.05,0.02018132263934764,5.667653389085119e-18,SOURCED_CURVE_PASS
43.05,aft,fatigue_reinforced_legacy,stiffness_based,4,0.05,0.02018132263934764,5.667653389085119e-18,SOURCED_CURVE_PASS
47.15,forward,day4_baseline,stiffness_based,2,0.05,0.031197892765944236,1.0930624085517906e-15,SOURCED_CURVE_PASS
47.15,aft,day4_baseline,stiffness_based,2,0.05,0.03119789276594424,1.0930624085517906e-15,SOURCED_CURVE_PASS
47.15,forward,day4_baseline,equal_50_50,2,0.05,0.029895391499385953,6.52996852184151e-16,SOURCED_CURVE_PASS
47.15,aft,day4_baseline,equal_50_50,2,0.05,0.032619060563627664,1.872177025142838e-15,SOURCED_CURVE_PASS
47.15,forward,fatigue_reinforced_legacy,stiffness_based,3,0.05,0.020957694305912475,8.942136652581516e-18,SOURCED_CURVE_PASS
47.15,aft,fatigue_reinforced_legacy,stiffness_based,3,0.05,0.02095769430591247,8.942136652581485e-18,SOURCED_CURVE_PASS
51.25,forward,day4_baseline,stiffness_based,2,0.05,0.023148140604074684,2.9714363709861645e-17,SOURCED_CURVE_PASS
51.25,aft,day4_baseline,stiffness_based,2,0.05,0.023148140604074684,2.9714363709861645e-17,SOURCED_CURVE_PASS
51.25,forward,day4_baseline,equal_50_50,2,0.05,0.02209253799290199,1.6908254705594796e-17,SOURCED_CURVE_PASS
51.25,aft,day4_baseline,equal_50_50,2,0.05,0.024309680401676394,5.368156109470522e-17,SOURCED_CURVE_PASS
51.25,forward,fatigue_reinforced_legacy,stiffness_based,3,0.05,0.015550141740984801,2.430875847154352e-19,SOURCED_CURVE_PASS
51.25,aft,fatigue_reinforced_legacy,stiffness_based,3,0.05,0.015550141740984801,2.430875847154352e-19,SOURCED_CURVE_PASS
54.6667,forward,day4_baseline,stiffness_based,2,0.05,0.013652039551557811,5.044266961062777e-20,SOURCED_CURVE_PASS
54.6667,aft,day4_baseline,stiffness_based,2,0.05,0.013652039551557815,5.04426696106279e-20,SOURCED_CURVE_PASS
54.6667,forward,day4_baseline,equal_50_50,2,0.05,0.012977683700060956,2.735481624664759e-20,SOURCED_CURVE_PASS
54.6667,aft,day4_baseline,equal_50_50,2,0.05,0.014400319437274586,9.610524459446481e-20,SOURCED_CURVE_PASS
54.6667,forward,fatigue_reinforced_legacy,stiffness_based,2,0.05,0.013652039551557811,5.044266961062777e-20,SOURCED_CURVE_PASS
54.6667,aft,fatigue_reinforced_legacy,stiffness_based,2,0.05,0.013652039551557815,5.04426696106279e-20,SOURCED_CURVE_PASS
57.4,forward,day4_baseline,stiffness_based,2,0.05,0.0077712922430132015,5.581747143913015e-23,SOURCED_CURVE_PASS
57.4,aft,day4_baseline,stiffness_based,2,0.05,0.007771292243013201,5.581747143913015e-23,SOURCED_CURVE_PASS
57.4,forward,day4_baseline,equal_50_50,2,0.05,0.007348523023427967,2.8399357920018726e-23,SOURCED_CURVE_PASS
57.4,aft,day4_baseline,equal_50_50,2,0.05,0.008245675718054511,1.1418917078795337e-22,SOURCED_CURVE_PASS
57.4,forward,fatigue_reinforced_legacy,stiffness_based,2,0.05,0.0077712922430132015,5.581747143913015e-23,SOURCED_CURVE_PASS
57.4,aft,fatigue_reinforced_legacy,stiffness_based,2,0.05,0.007771292243013201,5.581747143913015e-23,SOURCED_CURVE_PASS
60.1333,forward,day4_baseline,stiffness_based,2,0.05,0.012318341886353515,1.4570787609498963e-20,SOURCED_CURVE_PASS
60.1333,aft,day4_baseline,stiffness_based,2,0.05,0.012318341886353511,1.457078760949892e-20,SOURCED_CURVE_PASS
60.1333,forward,day4_baseline,equal_50_50,2,0.05,0.01138329391236416,5.6147268597285425e-21,SOURCED_CURVE_PASS
60.1333,aft,day4_baseline,equal_50_50,2,0.05,0.013420750911914282,4.103512333495626e-20,SOURCED_CURVE_PASS
60.1333,forward,fatigue_reinforced_legacy,stiffness_based,2,0.05,0.012318341886353515,1.4570787609498963e-20,SOURCED_CURVE_PASS
60.1333,aft,fatigue_reinforced_legacy,stiffness_based,2,0.05,0.012318341886353511,1.457078760949892e-20,SOURCED_CURVE_PASS
1.3667,forward,fatigue_robust_final,stiffness_based,5,0.06,0.0061161627313385016,3.092277878409407e-24,SOURCED_CURVE_PASS
1.3667,aft,fatigue_robust_final,stiffness_based,6,0.06,0.0061161627313385016,3.092277878409407e-24,SOURCED_CURVE_PASS
4.1,forward,fatigue_robust_final,stiffness_based,5,0.06,0.005304750066106014,5.540693454948357e-25,SOURCED_CURVE_PASS
4.1,aft,fatigue_robust_final,stiffness_based,6,0.06,0.005304750066106012,5.540693454948319e-25,SOURCED_CURVE_PASS
6.8333,forward,fatigue_robust_final,stiffness_based,5,0.06,0.004848039637347951,1.8674588573649617e-25,SOURCED_CURVE_PASS
6.8333,aft,fatigue_robust_final,stiffness_based,6,0.06,0.004848039637347951,1.8674588573649617e-25,SOURCED_CURVE_PASS
10.25,forward,fatigue_robust_final,stiffness_based,5,0.06,0.011507268289188567,6.399653339848234e-21,SOURCED_CURVE_PASS
10.25,aft,fatigue_robust_final,stiffness_based,6,0.06,0.011507268289188567,6.399653339848234e-21,SOURCED_CURVE_PASS
14.35,forward,fatigue_robust_final,stiffness_based,5,0.06,0.012791288216391182,2.2968697340444775e-20,SOURCED_CURVE_PASS
14.35,aft,fatigue_robust_final,stiffness_based,6,0.06,0.01279128821639118,2.2968697340444712e-20,SOURCED_CURVE_PASS
18.45,forward,fatigue_robust_final,stiffness_based,5,0.06,0.012658814695685246,2.025441761566293e-20,SOURCED_CURVE_PASS
