forward_layers_each_side,aft_layers_each_side,core_thickness_m,spanwise_zones_per_web,max_adjacent_layer_step,estimated_web_material_mass_kg,max_nominal_split_imbalance,max_face_D20_all_cases,max_core_D20_all_cases,status,selected
2,2,0.05,1,0,1759.6069915497562,0.04492177858312796,5887.501287891524,1.6859598932799962e-13,FAIL,False
2,2,0.06,1,0,1902.4322343703534,0.04492177858312796,5651.556349624808,1.595899023153589e-13,FAIL,False
2,2,0.08,1,0,2188.0827200115477,0.04492177858312796,5210.53730591936,1.4310155606098648e-13,FAIL,False
2,2,0.1,1,0,2473.733205652742,0.04492177858312796,4807.426483280417,1.284419929503953e-13,FAIL,False
2,3,0.05,1,0,2010.3752984955483,0.10529212073531835,825.4955996487315,1.2068170146660497e-14,FAIL,False
2,3,0.06,1,0,2153.2005413161455,0.10493622955447912,798.4563535506775,1.1540591908637965e-14,FAIL,False
2,3,0.08,1,0,2438.85102695734,0.1042321566167922,747.2804106512349,1.055882505846462e-14,FAIL,False
2,3,0.1,1,0,2724.5015125985337,0.10353817868147508,699.7230769125805,9.66685527799856e-15,FAIL,False
2,4,0.05,1,0,2261.1436054413407,0.17071379698071942,177.68933127276765,1.5357039973631908e-15,FAIL,False
2,4,0.06,1,0,2403.9688482619376,0.17021811337642234,172.76806213676346,1.4788878278732971e-15,FAIL,False
2,4,0.08,1,0,2689.619333903132,0.1692357201945266,163.37337805122135,1.3719654105833446e-15,FAIL,False
2,4,0.1,1,0,2975.2698195443263,0.1682651129434649,154.54289238926773,1.2733632631616727e-15,FAIL,False
2,5,0.05,1,0,2511.911912387133,0.21753203568769308,47.865688972607366,2.6407544671619404e-16,FAIL,False
2,5,0.06,1,0,2654.7371552077298,0.21698467369814367,46.71737331260328,2.556072009559301e-16,FAIL,False
2,5,0.08,1,0,2940.387640848924,0.21589846134287471,44.51143545991566,2.395395717698356e-16,FAIL,False
2,5,0.1,1,0,3226.038126490118,0.21482345151329674,42.42062671875299,2.24559886508188e-16,FAIL,False
