case_id,r_m,web,design_variant,split_method,split_error_percent,nominal_load_fraction,load_fraction,face_layers_each_side,core_thickness_m,A66_N_per_m,A66h_N,equivalent_total_shear_range_N,face_shear_range_MPa,curve_C_MPa,curve_b,curve_source,face_damage_20y_proxy,face_status,core_shear_range_MPa,core_damage_20y,core_fatigue_status
nominal_b10_split0,1.3667,forward,fatigue_robust_final,stiffness_based,0.0,0.4550030506406345,0.4550030506406345,5,0.06,119320000.0,397617394.4289797,242944.6937188257,3.280487283172469,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,4.3078200625659465e-06,PASS,0.0061161627313385016,3.092277878409407e-24,SOURCED_CURVE_PASS
nominal_b10_split0,1.3667,aft,fatigue_robust_final,stiffness_based,0.0,0.5449969493593654,0.5449969493593655,6,0.06,142920000.0,476261129.833974,242944.6937188257,3.280487283172469,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,4.3078200625659465e-06,PASS,0.0061161627313385016,3.092277878409407e-24,SOURCED_CURVE_PASS
b9_split0,1.3667,forward,fatigue_robust_final,stiffness_based,0.0,0.4550030506406345,0.4550030506406345,5,0.06,119320000.0,397617394.4289797,242944.6937188257,3.280487283172469,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",5.899725413786749e-05,PASS,0.0061161627313385016,3.092277878409407e-24,SOURCED_CURVE_PASS
b9_split0,1.3667,aft,fatigue_robust_final,stiffness_based,0.0,0.5449969493593654,0.5449969493593655,6,0.06,142920000.0,476261129.833974,242944.6937188257,3.280487283172469,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",5.899725413786749e-05,PASS,0.0061161627313385016,3.092277878409407e-24,SOURCED_CURVE_PASS
b10_split_minus10,1.3667,forward,fatigue_robust_final,stiffness_based,-10.0,0.4550030506406345,0.40950274557657107,5,0.06,119320000.0,397617394.4289797,242944.6937188257,2.952438554855221,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,1.5020439796469726e-06,PASS,0.00550454645820465,8.660202110128877e-25,SOURCED_CURVE_PASS
b10_split_minus10,1.3667,aft,fatigue_robust_final,stiffness_based,-10.0,0.5449969493593654,0.5904972544234289,6,0.06,142920000.0,476261129.833974,242944.6937188257,3.554366196290394,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,9.604962377765151e-06,PASS,0.0066267844337617515,8.146107833866698e-24,SOURCED_CURVE_PASS
b10_split_plus10,1.3667,forward,fatigue_robust_final,stiffness_based,10.0,0.4550030506406345,0.500503355704698,5,0.06,119320000.0,397617394.4289797,242944.6937188257,3.6085360114897154,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,1.1173375806747912e-05,PASS,0.006727779004472352,9.779173476233172e-24,SOURCED_CURVE_PASS
b10_split_plus10,1.3667,aft,fatigue_robust_final,stiffness_based,10.0,0.5449969493593654,0.49949664429530205,6,0.06,142920000.0,476261129.833974,242944.6937188257,3.0066083700545434,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,1.8015345296384043e-06,PASS,0.005605541028915251,1.078727218739694e-24,SOURCED_CURVE_PASS
b9_split_minus10,1.3667,forward,fatigue_robust_final,stiffness_based,-10.0,0.4550030506406345,0.40950274557657107,5,0.06,119320000.0,397617394.4289797,242944.6937188257,2.952438554855221,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",2.2856745047749813e-05,PASS,0.00550454645820465,8.660202110128877e-25,SOURCED_CURVE_PASS
b9_split_minus10,1.3667,aft,fatigue_robust_final,stiffness_based,-10.0,0.5449969493593654,0.5904972544234289,6,0.06,142920000.0,476261129.833974,242944.6937188257,3.554366196290394,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.00012140766353317834,PASS,0.0066267844337617515,8.146107833866698e-24,SOURCED_CURVE_PASS
